Gene name (primary),Gene names (all)
PHF2,CENP-35/KIAA0662/PHF2
RAD51AP1,PIR51/RAD51AP1
SPEN,KIAA0929/MINT/SHARP/SPEN
PRRC2B,BAT2L/BAT2L1/KIAA0515/PRRC2B
BUD13,BUD13
ARL6IP4,ARL6IP4
BBX,BBX/HBP2
MED1,ARC205/CRSP1/CRSP200/DRIP205/DRIP230/MED1/PBP/PPARBP/PPARGBP/RB18A/TRAP220/TRIP2
RPL29,RPL29
CAST,CAST
KIFC1,HSET/KIFC1/KNSL2
JARID2,JARID2/JMJ
ARID5B,ARID5B/DESRT/MRF2
BRWD1,BRWD1/C21orf107/WDR9
TP53BP1,TP53BP1
ANLN,ANLN
CTDSPL2,CTDSPL2/HSPC058/HSPC129
SCAF1,SCAF1/SFRS19/SRA1
PWWP2A,KIAA1935/MST101/PWWP2A
POLR1D,hCG_2020048/POLR1D
GTF3C5,CDABP0017/GTF3C5/hCG_31454
TSR1,KIAA1401/TSR1
MYC,BHLHE39/hCG_15917/MRTL/MYC
ZFP64,ZFP64/ZNF338
ZNF84,ZNF84
ZNF445,ZKSCAN15/ZNF168/ZNF445
ZNF749,ZNF749
PUM3,cPERP-C/KIAA0020/PUF-A/PUM3/XTP5
CDK12,CDK12/CRK7/CRKRS/KIAA0904
QSER1,QSER1
SLF2,C10orf6/FAM178A/SLF2
NOL12,NOL12
RBM34,KIAA0117/RBM34
MAP4,MAP4
ZNF354A,EZNF/HKL1/TCF17/ZNF354A
WDR70,WDR70
JPT2,C16orf34/HN1L/JPT2/L11
MGA,KIAA0518/MAD5/MGA
GPALPP1,AD029/GPALPP1/hCG_32794/KIAA1704/LSR7
RBM14,RBM14/SIP
ZNF668,ZNF668
BAZ2B,BAZ2B/KIAA1476
ZBTB41,FRBZ1/ZBTB41
ZFP91,FKSG11/ZFP91/ZNF757
CDYL,CDYL/CDYL1
C1orf131,C1orf131/cPERP-A/hCG_14915
NOP14,C4orf9/NOL14/NOP14/RES4-25
KMT2B,HRX2/KIAA0304/KMT2B/MLL2/MLL4/TRX2/WBP7
ZNF771,ZNF771
RPL26,RPL26
SP110,hCG_32956/SP110
HNRNPDL,hCG_22986/HNRNPDL/HNRPDL/JKTBP
HMGN4,HMG17L3/HMGN4/NHC
RPL6,RPL6/TXREB1
CIR1,CIR/CIR1
ANKRD11,ANCO1/ANKRD11
ZNF182,KOX14/ZNF182/ZNF21
DMAP1,DMAP1/KIAA1425
ZC3H18,NHN1/ZC3H18
LRIF1,C1orf103/LRIF1/RIF1
ZNF317,KIAA1588/ZNF317
ZNF121,ZNF121/ZNF20
ZNF133,ZNF133/ZNF150
PRPF3,HPRP3/PRP3/PRPF3
PNISR,C6orf111/HSPC261/HSPC306/PNISR/SFRS18/SRRP130
SP100,SP100
ZNF318,HRIHFB2436/ZNF318
ZNF841,ZNF841
ZNF417,ZNF417
ERCC6,CSB/ERCC6
SH3PXD2B,FAD49/hCG_40282/KIAA1295/SH3PXD2B/TKS4
RBM10,DXS8237E/GPATC9/GPATCH9/KIAA0122/RBM10
SUGP1,SF4/SUGP1
ZNF286A,KIAA1874/ZNF286/ZNF286A
CCDC34,CCDC34/L15/RAMA3
SETX,ALS4/KIAA0625/SCAR1/SETX
WDR76,WDR76
RPL14,RPL14
NFRKB,INO80G/NFRKB
MIS18BP1,C14orf106/hCG_1812025/KIAA1903/KNL2/M18BP1/MIS18BP1
ZC3H11A,KIAA0663/ZC3H11A/ZC3HDC11A
USP48,USP31/USP48
PCLAF,hCG_2039386/KIAA0101/L5/NS5ATP9/PAF/PCLAF
MUTYH,MUTYH/MYH
SEPT9,KIAA0991/MSF/SEPT9
RPL28,RPL28
RBM18,RBM18
TERF1,PIN2/TERF1/TRBF1/TRF/TRF1
HMGXB4,HMG2L1/HMGBCG/HMGXB4
DCUN1D5,DCUN1D5
CUL4B,CUL4B/hCG_40765/KIAA0695
ZNF830,CCDC16/ZNF830
MLLT6,AF17/MLLT6
C18orf21,C18orf21/PNAS-124/PNAS-131/XTP13
ATXN7L3,ATXN7L3
SYNCRIP,hCG_401112/HNRPQ/NSAP1/SYNCRIP
CDYL2,CDYL2
SPRTN,C1orf124/DVC1/SPRTN/UNQ1880/PRO4323
ZNF337,ZNF337
GAS2L3,GAS2L3/hCG_21805
SRSF6,SFRS6/SRP55/SRSF6
RPL37,RPL37
KIAA1522,KIAA1522
PPIG,PPIG
C11orf98,C11orf48/C11orf98/hCG_1734930
TRIM33,KIAA1113/RFG7/TIF1G/TRIM33
GTF3C1,GTF3C1
BAHD1,BAHD1/KIAA0945
FAM50A,DXS9928E/FAM50A/HXC26/XAP5
ZNF280D,KIAA1584/SUHW4/ZNF280D/ZNF634
ZNF432,KIAA0798/ZNF432
RAD18,RAD18/RNF73
UIMC1,RAP80/RXRIP110/UIMC1
CIC,CIC/KIAA0306
NOL10,NOL10
UTP11,CGI-94/HDCMB12P/UTP11/UTP11L
SMARCA4,BAF190A/BRG1/hCG_29955/SMARCA4/SNF2B/SNF2L4
KIF2C,KIF2C/KNSL6
DDX52,DDX52/HUSSY-19/ROK1
TRIR,C19orf43/TRIR
DDX17,DDX17
TFAP2A,AP2TF/hCG_37170/TFAP2/TFAP2A
SCML2,SCML2
RSBN1L,RSBN1L
ZBTB38,ZBTB38
CCNL2,CCNL2/SB138
ZNF260,ZFP260/ZNF260
CDC73,C1orf28/CDC73/HRPT2
ARID4B,ARID4B/BRCAA1/RBBP1L1/RBP1L1/SAP180
ERI2,ERI2/EXOD1/KIAA1504
HNRNPM,HNRNPM/HNRPM/NAGR1
DIEXF,C1orf107/DEF/DIEXF
NUFIP1,NUFIP1
API5,API5/MIG8
DLG3,DLG3/hCG_15353/KIAA1232
CPSF7,CPSF7
POP4,POP4/RPP29
LBR,LBR
SNIP1,SNIP1
KRI1,KRI1
GPATCH2,GPATC2/GPATCH2
ZBTB4,KIAA1538/ZBTB4
IMUP,C19orf33/IMUP
ZNF169,ZNF169
ERCC1,ERCC1
CDKL5,CDKL5/STK9
ZBTB24,KIAA0441/ZBTB24/ZNF450
ANKRD12,ANCO2/ANKRD12/KIAA0874
U2SURP,KIAA0332/SR140/U2SURP
RLF,RLF
ZNF485,ZNF485
JMJD1C,JHDM2C/JMJD1C/KIAA1380/TRIP8
RPL18,hCG_2000370/RPL18
KIF18B,KIF18B
BCLAF3,BCLAF3/CXorf23
SINHCAF,C12orf14/FAM60A/L4/SINHCAF
FOXK1,FOXK1/MNF
LENG1,LENG1
SMARCC1,BAF155/SMARCC1
SRSF4,SFRS4/SRP75/SRSF4
BNC2,BNC2
MPLKIP,C7orf11/MPLKIP/TTDN1
JPT1,ARM2/HN1/JPT1
ZMYM4,KIAA0425/ZMYM4/ZNF262
NCOR1,KIAA1047/NCOR1
ARHGAP19,ARHGAP19
CWC25,CCDC49/CWC25
NSD3,DC28/NSD3/WHSC1L1
PITX1,BFT/PITX1/PTX1
MORF4L1,FWP006/HSPC008/HSPC061/MORF4L1/MRG15/PP368
ZNF181,ZNF181
BAG1,BAG1/HAP
INTS3,C1orf193/C1orf60/INTS3
ARGLU1,ARGLU1
SMARCA1,hCG_1980650/SMARCA1/SNF2L/SNF2L1
CDC20,CDC20
KIN,BTCD/KIN/KIN17
PTTG1,EAP1/PTTG/PTTG1/TUTR1
RBM15B,OTT3/RBM15B
HMCES,C3orf37/DC12/HMCES/SRAPD1
LSG1,LSG1
WAPL,FOE/KIAA0261/WAPAL/WAPL
CDC6,CDC18L/CDC6
ESCO1,EFO1/ESCO1/KIAA1911
CUL1,CUL1
THOC2,CXorf3/THOC2
SF3B2,SAP145/SF3B2
SENP6,FKSG6/KIAA0797/SENP6/SSP1/SUSP1
CDC42EP4,BORG4/CDC42EP4/CEP4
ZNF558,ZNF558
BCOR,BCOR/KIAA1575
ZNF28,KOX24/ZNF28
CDC7,CDC7/CDC7L1
KAT7,HBO1/HBOa/KAT7/MYST2
NCOR2,CTG26/NCOR2
MFAP1,MFAP1
ZNF584,ZNF584
MPHOSPH10,MPHOSPH10/MPP10
OTUD7B,OTUD7B/RP11-212K13.2-003/ZA20D1
CCDC124,CCDC124
USP39,CGI-21/HSPC332/PRO2855/USP39
SMARCA2,BAF190B/BRM/SMARCA2/SNF2A/SNF2L2
ZNF600,ZNF600
ZBTB11,ZBTB11
FAM111B,CANP/FAM111B
ZBTB8A,BOZF1/hCG_39683/ZBTB8A
KIF18A,KIF18A/OK/SW-cl.108
KIF2A,KIF2/KIF2A/KNS2
KAT6A,KAT6A/MOZ/MYST3/RUNXBP2/ZNF220
PRDX1,PAGA/PAGB/PRDX1/TDPX2
NFX1,NFX1/NFX2
BRCA1,BRCA1/RNF53
ASXL2,ASXH2/ASXL2/KIAA1685
ZNF324B,ZNF324B
MORC3,KIAA0136/MORC3/NXP2/ZCWCC3
MCRS1,INO80Q/MCRS1/MSP58
CLK1,CLK/CLK1
SP2,KIAA0048/SP2
CHMP2B,CGI-84/CHMP2B
RNF169,KIAA1991/RNF169
CFAP97,CFAP97/KIAA1430
INO80,INO80/INO80A/INOC1/KIAA1259
SUGP2,KIAA0365/SFRS14/SUGP2
RPP38,RPP38
FOXM1,FKHL16/FOXM1/HFH11/MPP2/WIN
ACLY,ACLY
HSPE1,hCG_21429/HSPE1
ZNF765,ZNF765
TKT,TKT
BRF1,BRF/BRF1/GTF3B/TAF3B2/TAF3C
C11orf95,C11orf95
KDM6B,JMJD3/KDM6B/KIAA0346
FANCM,FANCM/KIAA1596
ELF1,ELF1
ZNF628,ZNF628
NCAPD3,CAPD3/hCAP-D3/hCG_37608/KIAA0056/NCAPD3
ZNF354B,ZNF354B
ZKSCAN8,ZKSCAN8/ZNF192
PUS7,KIAA1897/PUS7
RGS10,RGS10
MRPL2,CGI-22/MRPL2
VIM,VIM
ZNF462,KIAA1803/ZNF462
UHRF2,NIRF/RNF107/UHRF2
HIST1H2BO,H2BFH/H2BFN/HIST1H2BO
PRPF38B,hCG_39919/PRPF38B
SZRD1,C1orf144/SZRD1
TIGD2,TIGD2
IRF2BP2,IRF2BP2
HPF1,C4orf27/HPF1
C19orf47,C19orf47
DHX36,DDX36/DHX36/KIAA1488/MLEL1/RHAU
TMA16,C4orf43/TMA16
POLK,DINB1/hCG_18353/POLK
Q9UF83,
FAU,FAU
SCMH1,SCMH1
ZNF35,ZNF35
RPL5,MSTP030/RPL5
ZNF282,HUB1/ZNF282
ZFC3H1,CCDC131/hCG_25411/KIAA0546/PSRC2/ZFC3H1
GOLPH3,GOLPH3/GPP34
CXXC1,CFP1/CGBP/CXXC1/hCG_23689/PCCX1/PHF18
ZNF24,KOX17/ZNF191/ZNF24/ZSCAN3
PPIF,CYP3/PPIF
ZNF510,KIAA0972/ZNF510
SRCAP,KIAA0309/SRCAP
TAF3,TAF3
CUL4A,CUL4A
DDX27,cPERP-F/DDX27/HSPC259/PP3241/RHLP
ZNF350,ZBRK1/ZNF350
CDCA7,CDCA7/JPO1
ZC3H6,KIAA2035/ZC3H6/ZC3HDC6
MTA1,MTA1
ZNF134,ZNF134
FOXO3,FKHRL1/FOXO3/FOXO3A
ZNF443,ZNF443
NCAPG,CAPG/NCAPG/NYMEL3
ORC4,ORC4/ORC4L
ZNF672,ZNF672
CDT1,CDT1
RECQL4,RECQ4/RECQL4
IGHMBP2,IGHMBP2/SMBP2/SMUBP2
BRPF1,BR140/BRPF1
MCM9,C6orf61/MCM9/MCMDC1
RTEL1,C20orf41/KIAA1088/NHL/RTEL1
ARHGEF3,ARHGEF3
EIF4A3,DDX48/EIF4A3/KIAA0111
CCNA2,CCN1/CCNA/CCNA2
USF1,BHLHB11/hCG_20846/USF/USF1
TMSB4X,TB4X/THYB4/TMSB4/TMSB4X
ZNF358,ZNF358
MKRN2,HSPC070/MKRN2/RNF62
KMT5A,KMT5A/PRSET7/SET07/SET8/SETD8
ATN1,ATN1/D12S755E/DRPLA
UBN2,KIAA2030/UBN2
NOB1,ART4/MSTP158/NOB1/NOB1P/PSMD8BP1
PNO1,PNO1
FAM204A,C10orf84/FAM204A
RALY,HNRPCL2/P542/RALY
UFD1,UFD1/UFD1L
HIST1H1T,H1FT/H1T/HIST1H1T
TCEAL1,SIIR/TCEAL1
RPS9,hCG_2009111/RPS9
ERCC5,ERCC5/ERCM2/XPG/XPGC
CDK11B,CDC2L1/CDK11/CDK11B/PITSLREA/PK58
PPIL4,PPIL4
TBC1D13,TBC1D13
GATAD1,GATAD1/ODAG
HOXA13,HOX1J/HOXA13
FTSJ3,FTSJ3/SB92
ZCCHC4,ZCCHC4
ATAD2B,ATAD2B/KIAA1240
SENP7,KIAA1707/SENP7/SSP2/SUSP2
NKIRAS2,KBRAS2/NKIRAS2
MAMLD1,CG1/CXorf6/MAMLD1
UTP6,C17orf40/HCA66/MHAT/UTP6
TFAP4,BHLHC41/TFAP4
ZNF776,ZNF776
EHMT2,BAT8/C6orf30/EHMT2/G9A/KMT1C/NG36
ZNF92,ZNF92
MCM2,BM28/CCNL1/CDCL1/KIAA0030/MCM2
C18orf25,ARKL1/C18orf25
ATP5F1A,ATP5A/ATP5A1/ATP5AL2/ATP5F1A/ATPM
SOX12,SOX12/SOX22
WDR89,C14orf150/MSTP050/WDR89
LARP1,KIAA0731/LARP/LARP1
PTPN2,hCG_1999834/PTPN2/PTPT
UTP3,CRLZ1/SAS10/UTP3
HADHB,HADHB/MSTP029
RNF113A,RNF113/RNF113A/ZNF183
ZNF562,ZNF562
MAGED2,BCG1/hCG_18665/MAGED2
ZNF627,ZNF627
ZNF124,ZNF124
RPL21,hCG_2020044/RPL21
RBM22,199G4/RBM22/ZC3H16
THAP10,THAP10
SLX4,BTBD12/KIAA1784/KIAA1987/SLX4
CABIN1,CABIN1/hCG_41092/KIAA0330
SART3,KIAA0156/SART3/TIP110
ZNF394,ZKSCAN14/ZNF394
TOP3A,TOP3/TOP3A
SLC4A1AP,HLC3/SLC4A1AP
FNBP4,FBP30/FNBP4/KIAA1014
ZFHX3,ATBF1/ZFHX3
ARID4A,ARID4A/RBBP1/RBP1
RPS23,RPS23
KRT8,CYK8/KRT8
PPIL2,PPIL2
MRGBP,C20orf20/MRGBP
ZNF439,ZNF439
SIN3B,KIAA0700/SIN3B
MICAL3,KIAA0819/KIAA1364/MICAL3
SMARCAL1,HARP/SMARCAL1
REXO1,ELOABP1/KIAA1138/REXO1/TCEB3BP1
KIF21B,KIAA0449/KIF21B
PPIP5K2,HISPPD1/KIAA0433/PPIP5K2/VIP2
S100A16,AAG13/S100A16/S100F
ARHGAP23,ARHGAP23/KIAA1501
QRICH1,QRICH1
EIF4B,EIF4B
MXI1,BHLHC11/MXI1
FAM192A,C16orf94/CDA018/CDA10/FAM192A/NIP30
ZNF652,hCG_27356/KIAA0924/ZNF652
MLH1,COCA2/MLH1
ZNF26,KOX20/ZNF26
ZNF2,DKFZp686D2168/hCG_1746204/ZNF2/ZNF661
PIN1,PIN1
MZF1,MZF/MZF1/ZNF42/ZSCAN6
PHC3,EDR3/hCG_2021666/PH3/PHC3
PRR14,PRR14
GSE1,GSE1/KIAA0182
RERE,ARG/ARP/ATN1L/hCG_2008872/KIAA0458/RERE
SDHA,SDH2/SDHA/SDHF
TNKS1BP1,KIAA1741/TAB182/TNKS1BP1
PPIE,CYP33/PPIE
MAPRE1,MAPRE1
ZSCAN32,HCCS5/ZNF434/ZSCAN32
SMCHD1,KIAA0650/SMCHD1
COBL,COBL/KIAA0633
NEIL1,NEIL1
INTS13,ASUN/C12orf11/GCT1/INTS13
APEX1,APE/APE1/APEX/APEX1/APX/HAP1/REF1
NHEJ1,hCG_2043685/NHEJ1/XLF
STMN1,C1orf215/LAP18/OP18/STMN1
SRSF7,hCG_15878/SFRS7/SRSF7
TRA2B,SFRS10/TRA2B
ACTR8,ACTR8/ARP8/INO80N
PHF6,CENP-31/hCG_1783600/KIAA1823/PHF6
PSRC1,DDA3/FP3214/PSRC1
MYH9,MYH9
PSPC1,PSP1/PSPC1
GNL3L,GNL3L
VPS72,TCFL1/VPS72/YL1
C16orf87,C16orf87
ZNF609,KIAA0295/ZNF609
MCM4,CDC21/MCM4
NLRP13,NALP13/NLRP13/NOD14
FRA10AC1,C10orf4/FRA10AC1/PRO2972
DUSP11,DUSP11/PIR1
MATR3,DKFZp686L22104/KIAA0723/MATR3
SRSF5,HRS/SFRS5/SRP40/SRSF5
CHMP4C,CHMP4C/SHAX3
RPL11,RPL11
AGAP3,AGAP3/CENTG3
RPS14,PRO2640/RPS14
ASAP2,ASAP2/DDEF2/KIAA0400
GPATCH1,ECGP/GPATC1/GPATCH1
EXOSC9,EXOSC9/hCG_38830/PMSCL1
CCT4,CCT4/CCTD/SRB
DIS3,DIS3/hCG_32200/KIAA1008/RRP44
DDB2,DDB2
CWF19L1,CWF19L1
L3MBTL3,KIAA1798/L3MBTL3/MBT1
CMTR1,CMTR1/FTSJD2/KIAA0082/MTR1
USF2,BHLHB12/USF2
TAF1,BA2R/CCG1/CCGS/TAF1/TAF2A
BAP1,BAP1/hucep-13/hucep-6/KIAA0272
SSPO,KIAA2036/SSPO
ZBTB48,HKR3/TZAP/ZBTB48/ZNF855
TRIM24,RNF82/TIF1/TIF1A/TRIM24
FCF1,C14orf111/CGI-35/FCF1/hCG_22352
MRTO4,C1orf33/MRT4/MRTO4
NR4A1,GFRP1/HMR/NAK1/NR4A1
HUWE1,HSPC272/HUWE1/KIAA0312/KIAA1578/UREB1
CREB1,CREB1
HOXC13,HOX3G/HOXC13
SRP68,SRP68
SAMHD1,MOP5/SAMHD1
HAUS6,DGT6/FAM29A/HAUS6/KIAA1574
C1D,C1D
SKP2,FBXL1/SKP2
MARCKS,MACS/MARCKS/PRKCSL
SUN1,KIAA0810/SUN1/UNC84A
WRNIP1,WHIP/WRNIP1
C15orf40,C15orf40
ARHGAP17,ARHGAP17/MSTP066/MSTP110/RICH1
ATXN10,ATXN10/SCA10
C8orf37,C8orf37/smalltalk
ELAC2,ELAC2/hCG_29734/HPC2
DLGAP5,DLG7/DLGAP5/KIAA0008
ZNHIT3,TRIP3/ZNHIT3
HDAC4,HDAC4/KIAA0288
KRR1,HRB2/KRR1
NAF1,NAF1
TLK1,hCG_15833/KIAA0137/TLK1
UNG,DGU/DKFZp781L1143/UNG/UNG1/UNG15
EP300,EP300/P300
CHMP4A,C14orf123/CDA04/CHMP4A/HSPC134/SHAX2
TSNAX,TRAX/TSNAX
FBXO38,FBXO38/SP329
RCOR1,KIAA0071/RCOR/RCOR1
ZNF341,ZNF341
NUDC,NUDC
USP13,ISOT3/USP13
PUS1,PP8985/PUS1
UBE2V1,CROC1/hCG_2018358/P/OKcl.19/UBE2V/UBE2V1/UEV1
RBM19,KIAA0682/RBM19
ZCCHC10,hCG_1639963/ZCCHC10
MAP3K20,HCCS4/MAP3K20/MLTK/ZAK
CENPT,C16orf56/CENPT/ICEN22
TRUB1,PUS4/TRUB1
SMARCC2,BAF170/SMARCC2
RPP30,RNASEP2/RPP30
DNAJC9,DNAJC9
RNF166,RNF166
ARL3,ARFL3/ARL3
DLGAP4,DAP4/DLGAP4/hCG_2020065/KIAA0964/SAPAP4
PRR3,CAT56/PRR3
STAG1,DKFZp781D1416/SA1/SCC3/STAG1
PRPF4B,KIAA0536/PRP4/PRP4H/PRP4K/PRPF4B
HNRNPF,HNRNPF/HNRPF
UBXN6,UBXD1/UBXDC2/UBXN6
SCAF8,CCAP7/KIAA1116/RBM16/SCAF8
HES1,BHLHB39/HES1/HL/HRY
EMSY,C11orf30/EMSY/GL002
KANSL3,KANSL3/KIAA1310/NSL3/PRTD/SI1
NKIRAS1,hCG_1778083/KBRAS1/NKIRAS1
CD2BP2,CD2BP2/KIAA1178
CCDC9B,C15orf52/CCDC9B
TASP1,C20orf13/TASP1
SKI,SKI
BCCIP,BCCIP/TOK1
ZNF622,ZNF622/ZPR9
TAF7,TAF2F/TAF7/TAFII55
ING3,HSPC301/ING3
CCAR1,CARP1/CCAR1/DIS
NVL,NVL
BUD31,BUD31/EDG2
CLASRP,CLASRP/hCG_22138/SFRS16/SWAP2/UNQ2428/PRO4988
PTBP1,hCG_20560/PTB/PTBP1
FAM103A1,C15orf18/FAM103A1
ZNF782,ZNF782
ZNF707,ZNF707
ZBTB5,KIAA0354/ZBTB5
KIF4A,KIF4/KIF4A
WAC,KIAA1844/WAC
ERC1,ELKS/ERC1/KIAA1081/RAB6IP2
NOL8,C9orf34/NOL8/NOP132
MAD1L1,MAD1/MAD1L1/TXBP181
WDR43,KIAA0007/UTP5/WDR43
DENND1A,DENND1A/FAM31A/KIAA1608
FBXO5,EMI1/FBX5/FBXO5
HK2,HK2
TPR,TPR
MAP2K4,JNKK1/MAP2K4/MEK4/MKK4/PRKMK4/SEK1/SERK1/SKK1
EIF2S3,EIF2G/EIF2S3
ZNF71,EZFIT/ZNF71
LARP4,LARP4/PP13296
RPRD2,HSPC099/KIAA0460/RPRD2
ZNF557,ZNF557
WDR13,WDR13
HTATSF1,HTATSF1
AFF1,AF4/AFF1/FEL/MLLT2/PBM1
FOXL2,FOXL2
GTF2H1,BTF2/GTF2H1
NUP43,NUP43
GPKOW,GPATC5/GPATCH5/GPKOW/T54
EIF2S1,EIF2A/EIF2S1
SFMBT2,KIAA1617/SFMBT2
GTF2E1,GTF2E1/TF2E1
RPS7,RPS7
DBI,DBI
SF3A1,SAP114/SF3A1
RPS17,RPS17/RPS17L
GBX2,GBX2
ZNF346,hCG_41584/JAZ/ZNF346
ERCC3,ERCC3/XPB/XPBC
ZNF689,ZNF689
PPP1R12A,MBS/MYPT1/PPP1R12A
EMG1,C2F/EMG1
U2AF2,U2AF2/U2AF65
ARL14EP,ARF7EP/ARL14EP/C11orf46
PRDM11,PFM8/PRDM11
FAM98B,FAM98B
PSMB2,PSMB2
SSBP1,SSBP/SSBP1
MARK2,EMK1/MARK2
ZNHIT6,BCD1/C1orf181/ZNHIT6
MNT,BHLHD3/MNT/ROX
GTPBP2,GTPBP2
REST,hCG_1746842/NRSF/REST/XBR
HMG20A,HMG20A/HMGX1/HMGXB1
GAGE1,GAGE1
SRSF1,ASF/hCG_1774411/OK/SW-cl.3/SF2/SF2P33/SFRS1/SRSF1
ZNF618,KIAA1952/ZNF618
PRPF40A,FBP11/FLAF1/FNBP3/HIP10/HSPC225/HYPA/PRPF40A
HNRNPLL,BLOCK24/hCG_15881/HNRNPLL/HNRPLL/SRRF
ZIC3,ZIC3/ZNF203
VCP,VCP
DDX23,DDX23
BLZF1,BLZF1/JEM1
CALR,CALR/CRTC
AHCY,AHCY/SAHH
LGALS1,LGALS1
WDR33,WDC146/WDR33
NACC1,BTBD14B/NAC1/NACC1
HIST1H2BN,H2BFD/hCG_1743059/HIST1H2BN
GALNT2,GALNT2
CPSF6,CFIM68/CPSF6
PIGS,PIGS/UNQ1873/PRO4316
B2M,2-microglobulin/B2M/beta/CDABP0092/hCG_1786707/HDCMA22P
MAN1B1,MAN1B1/UNQ747/PRO1477
RPN1,RPN1
MSANTD4,DC25/KIAA1826/MSANTD4
UBB,UBB
CAMSAP2,CAMSAP1L1/CAMSAP2/KIAA1078
CELF1,BRUNOL2/CELF1/CUGBP/CUGBP1/hCG_25183/NAB50
KRT18,CYK18/KRT18/PIG46
TMEM109,TMEM109
SERPINH1,CBP1/CBP2/HSP47/PIG14/SERPINH1/SERPINH2
TMED10,TMED10/TMP21
ATP5O,ATP5O/ATPO
CALU,CALU
AFAP1,AFAP/AFAP1
NSA2,HUSSY-29/NSA2/TINP1
GSTM3,GST5/GSTM3
ZNF184,ZNF184
MLLT1,ENL/LTG19/MLLT1/YEATS1
RRP8,hucep-1/KIAA0409/NML/RRP8
NOC3L,AD24/C10orf117/FAD24/NOC3L
RPL3,ASC-1/hCG_2015191/OK/SW-cl.32/RPL3
ZNF888,ZNF888
PPM1D,PPM1D/WIP1
DHX16,DBP2/DDX16/DHX16/hCG_26008/KIAA0577/PRP2
SRRM1,SRM160/SRRM1
GTF2F2,GTF2F2/RAP30
ZNF331,RITA/ZNF331/ZNF361/ZNF463
JADE2,hCG_16590/JADE2/KIAA0239/PHF15
CRIP1,CRIP/CRIP1/CRP1
BRD4,BRD4/hCG_2000917/HUNK1
CHD6,CHD5/CHD6/KIAA1335/RIGB
MMTAG2,C1orf35/MMTAG2
ZNF592,hCG_1991191/KIAA0211/ZNF592
ZNF616,ZNF616
FAM76A,FAM76A
ZNF587B,ZNF587B
KANSL1,CENP-36/KANSL1/KIAA1267/MSL1V1/NSL1
MCPH1,MCPH1
TSEN54,SEN54/TSEN54
LSM11,LSM11
OXSR1,KIAA1101/OSR1/OXSR1
